weburl,tname01,tname02,tname03,oname,year,country,category01,category02,category03,director
http://www.ygdy8.net/html/gndy/dyzz/20091113/22872.html,天水围的夜与雾,,,Night and Fog,2009,中国香港,剧情,,,许鞍华
http://www.ygdy8.net/html/gndy/dyzz/20091113/22875.html,滑稽人物,,,Funny People,2009,美国,喜剧,剧情,,贾德`阿帕图
http://www.ygdy8.net/html/gndy/dyzz/20091113/22876.html,意外,暗杀,,Assassins,2009,中国香港,惊悚,,,郑保瑞
http://www.ygdy8.net/html/gndy/dyzz/20091113/22877.html,不能没有你,只想和你在一起,,No Pudeo Vivir Sin Ti,2009,中国台湾,剧情,,,戴立忍
http://www.ygdy8.net/html/gndy/dyzz/20091114/22886.html,风雪狼道,,,Way Of The Snowstorm,2007,中国,剧情,,,高峰
http://www.ygdy8.net/html/gndy/dyzz/20091114/22893.html,第九区,D-9异形禁区,第九禁区,District 9,2009,南非/新西兰,动作,剧情,科幻,尼尔`布洛姆坎普
http://www.ygdy8.net/html/gndy/dyzz/20091114/22894.html,第九区,D-9异形禁区,第九禁区,District 9,2009,南非/新西兰,动作,剧情,科幻,尼尔`布洛姆坎普
http://www.ygdy8.net/html/gndy/dyzz/20091115/22902.html,我的唯一,我唯一的,,My One and Only,2009,美国,喜剧,,,理查德`隆克瑞恩
http://www.ygdy8.net/html/gndy/dyzz/20091115/22914.html,美国情事,美国逸事,猪猡湾男孩,An American Affair,2009,美国,剧情,,,威廉`奥尔森
http://www.ygdy8.net/html/gndy/dyzz/20091115/22915.html,玛丽和马克思,,,Mary and Max,2009,澳大利亚,动画,喜剧,剧情,亚当`艾略特
http://www.ygdy8.net/html/gndy/dyzz/20091116/22923.html,第四课时推理领域,,,4Th Class KOR,2009,韩国,惊悚,悬疑,,李相龙
http://www.ygdy8.net/html/gndy/dyzz/20091116/22925.html,谎言与错觉,,,Lies   Illusions,2009,美国,动作,喜剧,惊悚,梯波尔`塔加克斯
http://www.ygdy8.net/html/gndy/dyzz/20091116/22927.html,游戏终点,终局,最后的谈判,Endgame,2009,英国,剧情,,,彼得`特拉维斯
http://www.ygdy8.net/html/gndy/dyzz/20091117/22942.html,天水围的夜与雾,,,Night and Fog,2009,中国香港,剧情,,,许鞍华
http://www.ygdy8.net/html/gndy/dyzz/20091117/22943.html,隋朝来客,,,Visitors From The Sui Dynasty,2009,中国,剧情,喜剧,,庄宇新
http://www.ygdy8.net/html/gndy/dyzz/20091117/22946.html,意外,暗杀,,Assassins,2009,中国香港,惊悚,,,郑保瑞
http://www.ygdy8.net/html/gndy/dyzz/20091117/22947.html,月球,2009月球漫游,,Moon,2009,英国,剧情,神秘,科幻,邓肯`琼斯
